-lgP(K^2>=k),k
0,0.0000
1,2.7055
2,6.6349
3,10.828
4,15.137
5,19.511
6,23.928
7,28.374
8,32.841
9,37.325
10,41.821
11,46.328
12,50.844
13,55.366
14,59.898
15,64.432
16,68.763
17,73.513
18,78.059
19,82.609
20,87.162
21,91.717
22,96.275
23,100.83
24,105.40
25,109.96
26,114.52
27,119.09
28,123.66
29,128.23
30,132.80
31,137.37
32,141.94
33,146.52
34,151.09
35,155.67
36,160.25
37,164.82
38,169.40
39,173.98
40,178.56
41,183.14
42,187.72
43,192.30
44,196.88
45,201.47
46,206.05
47,210.63
48,215.22
49,219.80
50,224.38
51,228.97
52,233.56
53,238.14
54,242.73
55,247.31
56,251.90
57,256.49
58,261.08
59,265.66
60,270.25
61,274.84
62,279.43
63,284.02
64,288.61
65,293.20
66,297.79
67,302.38
68,306.97
69,311.56
70,316.15
71,320.74
72,325.33
73,329.92
74,334.51
75,339.10
76,343.70
77,348.29
78,352.88
79,357.47
80,362.06
81,366.66
82,371.25
83,375.84
84,380.44
85,385.03
86,389.62
87,394.22
88,398.81
89,403.40
90,408.00
91,412.59
92,417.19
93,421.78
94,426.37
95,430.97
96,435.56
97,440.16
98,444.75
99,449.35
100,453.94
101,458.54
102,463.13
103,467.73
104,472.32
105,476.92
106,481.52
107,486.11
108,490.71
109,495.30
110,499.90
111,504.49
112,509.09
113,513.69
114,518.28
115,522.88
116,527.48
117,532.07
118,536.67
119,541.27
120,545.86
121,550.46
122,555.06
123,559.65
124,564.25
125,568.85
126,573.44
127,578.04
128,582.64
129,587.24
130,591.83
131,596.43
132,601.03
133,605.63
134,610.22
135,614.82
136,619.42
137,624.02
138,628.62
139,633.21
140,637.81
141,642.41
142,647.01
143,651.61
144,656.20
145,660.80
146,665.40
147,670.00
148,674.60
149,679.19
150,683.79
151,688.39
152,692.99
153,697.59
154,702.19
155,706.79
156,711.38
157,715.98
158,720.58
159,725.18
160,729.78
161,734.38
162,738.98
163,743.58
164,748.18
165,752.78
166,757.37
167,761.97
168,766.57
169,771.17
170,775.77
171,780.37
172,784.97
173,789.57
174,794.17
175,798.77
176,803.37
177,807.97
178,812.57
179,817.17
180,821.77
181,826.36
182,830.96
183,835.56
184,840.16
185,844.76
186,849.36
187,853.96
188,858.56
189,863.16
190,867.76
191,872.36
192,876.96
193,881.56
194,886.16
195,890.76
196,895.36
197,899.96
198,904.56
199,909.16
200,913.76
201,918.36
202,922.96
203,927.56
204,932.16
205,936.76
206,941.36
207,945.96
208,950.56
209,955.17
210,959.77
211,964.37
212,968.97
213,973.57
214,978.17
215,982.77
216,987.37
217,991.97
218,996.57
219,1001.2
220,1005.8
221,1010.4
222,1015.0
223,1019.6
224,1024.2
225,1028.8
226,1033.4
227,1038.0
228,1042.6
229,1047.2
230,1051.8
231,1056.4
232,1061.0
233,1065.6
234,1070.2
235,1074.8
236,1079.4
237,1084.0
238,1088.6
239,1093.2
240,1097.8
241,1102.4
242,1107.0
243,1111.6
244,1116.2
245,1120.8
246,1125.4
247,1130.0
248,1134.6
249,1139.2
250,1143.8
251,1148.4
252,1153.0
253,1157.6
254,1162.2
255,1166.8
256,1171.4
257,1176.0
258,1180.6
259,1185.2
260,1189.8
261,1194.4
262,1199.0
263,1203.6
264,1208.2
265,1212.8
266,1217.4
267,1222.0
268,1226.6
269,1231.2
270,1235.8
271,1240.4
272,1245.0
273,1249.6
274,1254.2
275,1258.8
276,1263.4
277,1268.0
278,1272.6
279,1277.2
280,1281.8
281,1286.4
282,1291.0
283,1295.6
284,1300.2
285,1304.8
286,1309.4
287,1314.0
288,1318.7
289,1323.3
290,1327.9
291,1332.5
292,1337.1
293,1341.7
294,1346.3
295,1350.9
296,1355.5
297,1360.1
298,1364.7
299,1369.3
300,1373.9
301,1378.5
302,1383.1
303,1387.7
304,1392.3
305,1396.9
306,1401.5
307,1406.1
308,1410.7
309,1415.3
310,1419.9
311,1424.5
312,1429.1
313,1433.7
314,1438.3
315,1442.9
316,1447.5
317,1452.1
318,1456.7
319,1461.3
320,1465.9
321,1470.5
322,1475.1
